subject,organ,accept,dice,iou,tp,fp,fn,pred_vox,gt_vox,status,num_voxels,volume_mm3,is_empty,centroid_x_rel,centroid_y_rel,centroid_z_rel,bbox_x_rel,bbox_y_rel,bbox_z_rel,bbox_volume_mm3,mask_to_bbox_ratio,num_components,largest_component_fraction,touches_boundary,boundary_fraction,mean_HU,median_HU,std_HU,p05_HU,p95_HU,orig_axcodes
s1238,autochthon_right,1,0.9767,0.9545,149677,5332,1809,155009,151486,ok,155009,523155.38,0,0.6123,0.2545,0.5269,0.2169,0.2102,0.7965,4874688.0,0.1073,1,1.0,1,0.0022,10.03,15.0,29.94,-49.0,49.0,RAS
s1238,brachiocephalic_trunk,0,0.943,0.8921,1464,95,82,1559,1546,ok,1559,5261.62,0,0.5708,0.5125,0.9318,0.0678,0.0407,0.0416,15390.0,0.3419,1,1.0,0,0.0,96.99,105.0,26.81,38.9,127.0,RAS
s1238,brachiocephalic_vein_left,1,0.9697,0.9412,3747,171,63,3918,3810,ok,3918,13223.25,0,0.5385,0.5339,0.9124,0.1559,0.078,0.0678,110693.25,0.1195,1,1.0,0,0.0,100.66,106.0,31.91,33.0,138.0,RAS
s1238,brachiocephalic_vein_right,1,0.9618,0.9264,2166,138,34,2304,2200,ok,2304,7776.0,0,0.6184,0.5021,0.9261,0.0542,0.0576,0.0525,22032.0,0.3529,1,1.0,0,0.0,148.4,127.0,125.0,36.0,404.4,RAS
s1238,clavicula_left,1,0.9913,0.9828,8103,29,113,8132,8216,ok,8132,27445.5,0,0.3999,0.5032,0.9666,0.2881,0.1898,0.0875,642600.0,0.0427,1,1.0,1,0.0524,515.21,438.0,295.87,148.55,1068.45,RAS
s1238,clavicula_right,1,0.9871,0.9745,6496,87,83,6583,6579,ok,6583,22217.62,0,0.6822,0.5337,0.964,0.2407,0.1492,0.0832,400653.0,0.0555,1,1.0,1,0.0409,513.08,431.0,308.42,146.0,1093.0,RAS
s1238,colon,0,0.8977,0.8144,428653,21360,76303,450013,504956,ok,450013,1518793.88,0,0.5209,0.5962,0.3967,0.722,0.4712,0.6171,28178462.0,0.0539,6,0.9181,0,0.0,-395.26,-183.0,432.83,-984.0,39.0,RAS
s1238,common_carotid_artery_left,1,0.9736,0.9486,1274,47,22,1321,1296,ok,1321,4458.38,0,0.5108,0.4821,0.9572,0.0475,0.0407,0.0744,19278.0,0.2313,1,1.0,1,0.0227,88.26,96.0,34.07,24.0,133.0,RAS
s1238,common_carotid_artery_right,0,0.9461,0.8978,799,49,42,848,841,ok,848,2862.0,0,0.6057,0.4935,0.9713,0.0475,0.0576,0.0481,17671.5,0.162,1,1.0,1,0.0283,103.56,106.0,23.83,59.35,138.0,RAS
s1238,costal_cartilages,0,0.9442,0.8942,46714,2456,3069,49170,49783,ok,49170,165948.75,0,0.5399,0.6788,0.7148,0.7661,0.3017,0.4114,12762333.0,0.013,17,0.3978,0,0.0,123.54,118.0,66.1,56.0,217.0,RAS
s1238,duodenum,0,0.9091,0.8334,17976,1335,2259,19311,20235,ok,19311,65174.62,0,0.6026,0.5066,0.5071,0.2508,0.0915,0.2144,660838.5,0.0986,2,0.9991,0,0.0,29.5,32.0,32.63,-9.0,68.0,RAS
s1238,esophagus,1,0.9604,0.9237,10538,385,485,10923,11023,ok,10923,36865.12,0,0.534,0.4039,0.8162,0.078,0.1254,0.3239,425074.5,0.0867,1,1.0,0,0.0,64.34,67.0,25.73,22.0,100.0,RAS
s1238,femur_left,1,0.9933,0.9866,65059,269,614,65328,65673,ok,65328,220482.0,0,0.2475,0.3574,0.0961,0.2068,0.1966,0.1729,943319.25,0.2337,1,1.0,1,0.0066,348.74,254.0,280.91,73.0,1042.0,RAS
